Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:02:49.037,00:02:49.000,0.5,--,--,0:05:36  ,0:05:36  ,0:04:03  ,--,--,--,120.0,130.0,--,18
2,00:02:38.001,00:02:38.000,0.5,--,--,0:05:17  ,0:05:17  ,0:03:49  ,--,--,--,136.0,150.0,--,23
3,00:02:47.996,00:02:47.996,0.5,--,--,0:05:35  ,0:05:35  ,0:03:51  ,--,--,--,143.0,151.0,--,26
4,00:04:04.005,00:03:19.000,0.5,--,--,0:08:08  ,0:06:38  ,0:03:53  ,--,--,--,127.0,154.0,--,28
5,00:02:41.997,00:02:41.997,0.5,--,--,0:05:24  ,0:05:24  ,0:03:56  ,--,--,--,137.0,156.0,--,21
6,00:03:48.007,00:03:13.000,0.5,--,--,0:07:35  ,0:06:25  ,0:03:36  ,--,--,--,130.0,158.0,--,26
7,00:04:15.997,00:03:05.000,0.5,--,--,0:08:29  ,0:06:08  ,0:03:45  ,--,--,--,132.0,163.0,--,30
8,00:02:38.003,00:02:38.000,0.5,--,--,0:05:16  ,0:05:16  ,0:03:52  ,--,--,--,132.0,151.0,--,18
9,00:02:34.996,00:02:34.996,0.5,--,--,0:05:09  ,0:05:09  ,0:03:30  ,--,--,--,150.0,169.0,--,24
10,00:02:50.985,00:02:49.000,0.5,--,--,0:05:43  ,0:05:39  ,0:03:42  ,--,--,--,163.0,175.0,--,30
11,00:04:45.017,00:03:26.000,0.5,--,--,0:09:29  ,0:06:51  ,0:04:39  ,--,--,--,123.0,142.0,--,22
12,00:02:36.542,00:02:36.542,0.36,--,--,0:07:11  ,0:07:10  ,0:04:20  ,--,--,--,135.0,145.0,--,19
Summary,00:38:30.583,00:34:38.531,5.86,--,--,0:06:34  ,0:05:54  ,0:03:30  ,--,--,--,134.0,175.0,--,285
