"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Stroke Rate","Max Stroke Rate","Avg Distance per Stroke","Calories","Best Pace","Moving Time","Avg Moving Pace"
"1","3:29.0","3:29.0","490","3:33","126","144","--","2","17","23","8.39","26","2:22","3:29.0","3:33"
"2","3:52.0","7:21.0","610","3:10","143","151","--","--","17","25","8.94","36","2:03","3:52","3:10"
"3","3:11.0","10:32","519","3:04","149","155","--","--","19","21","8.74","31","2:01","3:11.0","3:04"
"4","2:21.0","12:53","371","3:10","152","162","--","--","17","25","9.16","23","2:01","2:21","3:10"
"5","1:58.0","14:51","162","6:03","126","137","--","--","21","29","4.06","12","2:56","1:57","6:00"
"6","0:56.0","15:47","149","3:08","146","158","--","--","21","24","7.26","8","2:16","0:56.0","3:08"
"7","1:21.0","17:08","185","3:39","152","159","--","--","20","31","6.79","13","2:09","1:21","3:39"
"8","1:30.0","18:38","226","3:20","153","158","--","--","20","27","7.59","15","2:19","1:30.0","3:20"
"9","0:44.1","19:22","109","3:23","157","159","--","--","21","26","7.04","7","2:20","0:44","3:22"
"10","0:34.9","19:57","101","2:52","161","162","--","--","22","27","7.62","6","2:21","0:34.9","2:52"
"11","1:14.0","21:11","149","4:08","157","166","--","--","23","28","5.48","12","2:23","1:14","4:08"
"12","1:25.0","22:36","143","4:58","138","141","--","--","20","29","5.18","11","2:40","1:25.0","4:58"
"13","1:05.0","23:41","152","3:34","134","143","--","--","19","22","7.40","7","2:08","1:05","3:34"
"14","1:41.1","25:22","241","3:30","146","156","--","--","19","25","7.59","15","2:06","1:41","3:29"
"15","1:19.9","26:42","199","3:21","150","155","2","--","20","27","7.50","12","2:09","1:19.9","3:21"
"16","1:43.0","28:25","213","4:02","144","156","--","1","18","28","7.09","15","2:29","1:43.0","4:02"
"17","0:43.0","29:08","87","4:08","140","145","--","--","20","27","5.99","6","2:43","0:43","4:08"
"18","2:23.0","31:31","285","4:11","153","168","--","--","20","26","6.84","23","2:08","2:11","3:50"
"19","1:09.1","32:40","137","4:11","135","139","--","--","23","32","5.52","8","2:21","1:09","4:11"
"20","2:20.9","35:01","170","6:54","130","144","--","--","22","35","5.74","13","2:26","1:36","4:42"
"21","0:09.6","35:11","2","32:49","115","117","--","--","24","25","1.34","0","12:46","0:04","13:43"
"Summary","35:11","35:11","4,700","3:45","143","168","2","4","19","35","7.38","299","2:01","34:07","3:38"
